Date,Open,High,Low,Close,Adj Close,Volume
2021-08-20,69.269997,69.889999,68.650002,69.889999,69.889999,2254239
2021-08-23,71.320000,71.489998,69.870003,69.870003,69.870003,2203480
2021-08-24,70.389999,71.279999,70.010002,70.739998,70.739998,2031805
2021-08-25,70.639999,71.500000,70.339996,71.120003,71.120003,1846335
2021-08-26,70.639999,70.980003,70.029999,70.699997,70.699997,1530079
2021-08-27,70.820000,71.400002,70.430000,71.209999,71.209999,1222370
2021-08-30,71.449997,72.080002,71.309998,71.599998,71.599998,1376885
2021-08-31,72.059998,72.540001,70.669998,71.419998,71.419998,2870896
2021-09-01,72.199997,72.279999,70.809998,71.070000,71.070000,1624492
2021-09-02,71.070000,71.540001,70.389999,70.620003,70.620003,1893350
2021-09-03,70.709999,71.050003,69.870003,70.169998,70.169998,1715363
2021-09-06,70.459999,70.820000,69.550003,70.089996,70.089996,1995083
2021-09-07,70.279999,70.970001,70.089996,70.379997,70.379997,1773366
2021-09-08,70.040001,70.059998,68.360001,68.709999,68.709999,3282009
2021-09-09,68.080002,69.050003,67.650002,68.500000,68.500000,2637446
2021-09-10,68.599998,69.839996,68.599998,69.139999,69.139999,2266264
2021-09-13,69.589996,71.949997,69.589996,71.699997,71.699997,3462549
2021-09-14,71.809998,73.080002,71.739998,72.519997,72.519997,3108146
2021-09-15,71.809998,73.540001,71.730003,72.510002,72.510002,2625314
2021-09-16,72.580002,73.449997,71.800003,72.129997,72.129997,2458052
2021-09-17,72.849998,73.110001,70.989998,71.360001,71.360001,6563297
2021-09-20,69.930000,70.190002,67.750000,69.150002,69.150002,4644107
2021-09-21,69.550003,70.290001,68.940002,69.300003,69.300003,2601472
2021-09-22,69.839996,71.980003,69.720001,71.930000,71.930000,2784575
2021-09-23,72.500000,73.650002,72.209999,73.019997,73.019997,2703339
2021-09-24,72.900002,74.480003,72.029999,74.279999,74.279999,2622214
2021-09-27,75.000000,76.239998,74.809998,75.800003,75.800003,3431309
2021-09-28,75.779999,78.089996,75.550003,76.230003,76.230003,5174189
2021-09-29,76.800003,77.839996,76.330002,77.400002,77.400002,2244393
2021-09-30,77.699997,77.980003,76.720001,76.720001,76.720001,2919920
2021-10-01,75.559998,77.940002,74.610001,77.370003,77.370003,3630569
2021-10-04,77.000000,77.720001,75.919998,77.010002,77.010002,2594745
2021-10-05,77.230003,77.379997,76.099998,77.190002,77.190002,2155475
2021-10-06,76.349998,76.709999,75.059998,75.570000,75.570000,3445633
2021-10-07,76.589996,78.879997,76.389999,78.639999,78.639999,3757678
2021-10-08,79.650002,81.169998,79.610001,80.680000,80.680000,4371059
2021-10-11,80.300003,83.120003,79.779999,83.000000,83.000000,3899366
2021-10-12,81.519997,82.919998,81.290001,82.309998,82.309998,2826257
2021-10-13,82.199997,82.940002,81.260002,81.559998,81.559998,2722209
2021-10-14,82.260002,83.260002,81.760002,83.220001,83.220001,3223210
2021-10-15,83.230003,83.989998,83.089996,83.650002,83.650002,2680878
2021-10-18,83.430000,83.730003,81.449997,81.949997,81.949997,2627698
2021-10-19,82.480003,82.959999,81.809998,82.370003,82.370003,1799960
2021-10-20,82.110001,82.849998,80.510002,81.949997,81.949997,2505983
2021-10-21,80.870003,82.629997,80.650002,81.730003,81.730003,1947220
2021-10-22,81.870003,82.910004,81.480003,82.110001,82.110001,1799034
2021-10-25,82.050003,83.820000,81.919998,82.889999,82.889999,2961272
2021-10-26,83.449997,84.000000,82.790001,83.099998,83.099998,2158418
2021-10-27,82.650002,84.099998,82.120003,83.580002,83.580002,2377338
2021-10-28,82.720001,83.849998,82.500000,83.849998,83.849998,1973605
2021-10-29,83.239998,85.830002,82.699997,85.739998,85.739998,4375140
2021-11-01,86.000000,87.570000,85.800003,86.980003,86.980003,2310725
2021-11-02,86.699997,87.269997,85.680000,87.089996,87.089996,2397959
2021-11-03,86.500000,87.330002,85.870003,87.029999,87.029999,2104363
2021-11-04,87.220001,88.239998,83.500000,87.000000,87.000000,4333947
2021-11-05,86.360001,88.059998,86.260002,87.589996,87.589996,2613344
2021-11-08,87.180000,87.680000,86.580002,87.230003,87.230003,1463678
2021-11-09,87.150002,88.260002,87.070000,87.419998,87.419998,1771670
2021-11-10,87.489998,88.400002,86.639999,88.089996,88.089996,2569079
2021-11-11,87.900002,88.650002,87.220001,87.360001,87.360001,2856079
2021-11-12,87.570000,88.059998,87.110001,87.889999,87.889999,1906236
2021-11-15,87.769997,89.209999,87.650002,88.830002,88.830002,1832852
2021-11-16,89.209999,89.820000,88.540001,89.209999,89.209999,2375510
2021-11-17,89.320000,89.889999,88.790001,89.419998,89.419998,2028790
2021-11-18,89.900002,91.629997,89.669998,90.900002,90.900002,3138791
2021-11-19,91.000000,91.419998,89.059998,89.790001,89.790001,4505494
2021-11-22,89.699997,91.459999,89.599998,90.970001,90.970001,2522957
2021-11-23,90.000000,91.199997,89.639999,90.040001,90.040001,2383331
2021-11-24,90.129997,90.260002,87.589996,88.370003,88.370003,3062917
2021-11-25,88.980003,89.199997,87.809998,88.379997,88.379997,1273094
2021-11-26,85.000000,85.580002,82.250000,83.160004,83.160004,6383596
2021-11-29,70.091362,70.324249,68.494408,68.868690,68.868690,4625902
2021-11-30,67.987038,69.742027,66.897446,69.035042,69.035042,7133155
2021-12-01,70.107994,72.395302,69.392693,72.021011,72.021011,5023572
2021-12-02,71.089455,72.636505,70.781708,71.621773,71.621773,4551161
2021-12-03,72.328758,72.586601,70.631996,71.222534,71.222534,4076334
2021-12-06,72.037651,72.320442,70.374153,71.089455,71.089455,3377348
2021-12-07,72.262222,72.802856,71.813072,72.203995,72.203995,4490188
2021-12-08,72.203995,72.295486,70.058090,71.380569,71.380569,3998665
2021-12-09,71.571869,72.744637,70.864883,71.679993,71.679993,4156361
2021-12-10,73.199997,75.309998,71.010002,74.250000,74.250000,7213204
2021-12-13,74.720001,76.110001,73.989998,74.000000,74.000000,4680761
2021-12-14,73.000000,73.739998,71.470001,71.470001,71.470001,4265644
2021-12-15,71.809998,72.400002,71.089996,71.120003,71.120003,2931838
2021-12-16,72.519997,72.959999,71.019997,71.739998,71.739998,3421998
2021-12-17,70.389999,70.650002,68.540001,68.750000,68.750000,7737176
2021-12-20,66.699997,67.820000,66.480003,67.300003,67.300003,4786790
2021-12-21,68.199997,68.800003,67.290001,68.620003,68.620003,2264407
2021-12-22,68.699997,69.690002,68.160004,69.690002,69.690002,1839788
2021-12-23,70.209999,70.529999,69.940002,70.089996,70.089996,1620249
2021-12-27,69.879997,70.180000,69.500000,69.889999,69.889999,1243078
2021-12-28,69.930000,70.540001,69.489998,69.599998,69.599998,1494742
2021-12-29,69.599998,69.750000,68.180000,68.230003,68.230003,2470115
2021-12-30,68.239998,68.589996,67.589996,67.589996,67.589996,2237979
2022-01-03,68.500000,69.190002,67.889999,68.699997,68.699997,2654611
2022-01-04,69.480003,72.629997,69.410004,72.110001,72.110001,4936145
2022-01-05,72.400002,75.050003,72.400002,75.000000,75.000000,5106683
2022-01-06,73.930000,76.430000,73.540001,74.910004,74.910004,3602804
2022-01-07,75.040001,75.680000,73.370003,73.559998,73.559998,2755179
2022-01-10,74.089996,74.480003,72.779999,73.050003,73.050003,2384947
2022-01-11,73.540001,73.559998,71.910004,72.540001,72.540001,2488494
2022-01-12,73.400002,74.040001,72.440002,73.419998,73.419998,2946446
2022-01-13,73.209999,75.599998,73.199997,75.430000,75.430000,3906108
2022-01-14,74.720001,75.650002,74.489998,74.790001,74.790001,2448641
2022-01-17,75.160004,75.320000,73.480003,74.260002,74.260002,1926199
2022-01-18,73.900002,75.209999,72.809998,74.639999,74.639999,2955090
2022-01-19,74.089996,75.459999,73.650002,74.500000,74.500000,3104068
2022-01-20,74.000000,74.529999,72.150002,73.199997,73.199997,3532959
2022-01-21,72.040001,72.080002,71.000000,71.930000,71.930000,4055043
2022-01-24,71.480003,72.559998,67.879997,68.300003,68.300003,5020505
2022-01-25,69.199997,69.779999,68.019997,68.820000,68.820000,3132631
2022-01-26,69.430000,71.070000,69.169998,70.510002,70.510002,2931917
2022-01-27,69.459999,71.779999,69.309998,71.150002,71.150002,2960980
2022-01-28,70.800003,70.800003,68.500000,69.870003,69.870003,3281757
2022-01-31,70.620003,70.820000,69.190002,69.930000,69.930000,2650761
2022-02-01,70.000000,70.919998,69.699997,70.160004,70.160004,2186518
2022-02-02,70.160004,70.160004,70.160004,70.160004,70.160004,0
2022-02-03,70.160004,70.160004,70.160004,70.160004,70.160004,0
2022-02-04,70.160004,70.160004,70.160004,70.160004,70.160004,0
2022-02-07,68.320000,68.650002,67.559998,67.559998,67.559998,2619261
2022-02-08,67.449997,68.949997,66.730003,67.559998,67.559998,2866739
2022-02-09,68.400002,70.959999,68.269997,70.540001,70.540001,4477504
2022-02-10,70.540001,70.650002,69.199997,69.750000,69.750000,2499973
2022-02-11,69.010002,75.360001,68.650002,74.440002,74.440002,7685106
2022-02-14,71.970001,74.980003,71.739998,74.309998,74.309998,6449171
2022-02-15,74.150002,75.459999,73.449997,75.379997,75.379997,4255754
2022-02-16,75.489998,77.419998,75.199997,75.820000,75.820000,3338076
2022-02-17,76.940002,77.900002,75.470001,76.059998,76.059998,3129408
2022-02-18,76.510002,77.650002,75.250000,75.589996,75.589996,2876383
2022-02-21,76.639999,77.070000,73.809998,74.029999,74.029999,3466863
2022-02-22,71.480003,74.209999,71.099998,73.220001,73.220001,3938250
2022-02-23,74.300003,75.250000,72.940002,73.570000,73.570000,3345429
2022-02-24,69.000000,71.330002,67.849998,68.790001,68.790001,8297015
2022-02-25,70.459999,72.099998,68.349998,72.059998,72.059998,6292551
2022-02-28,69.900002,70.599998,68.169998,70.169998,70.169998,5868911
2022-03-01,69.500000,70.489998,66.320000,66.440002,66.440002,6811103
2022-03-02,65.199997,65.330002,63.049999,64.059998,64.059998,8133642
2022-03-03,64.000000,64.410004,60.000000,60.209999,60.209999,6123312
2022-03-04,58.849998,60.090000,56.810001,58.000000,58.000000,9611532
2022-03-07,55.220001,59.450001,54.669998,57.389999,57.389999,8645172
2022-03-08,56.439999,58.700001,56.430000,57.000000,57.000000,6732058
2022-03-09,59.139999,61.360001,58.150002,61.360001,61.360001,6946066
2022-03-10,61.360001,61.810001,57.330002,59.090000,59.090000,6757062
2022-03-11,59.360001,61.619999,58.060001,58.590000,58.590000,6157828
2022-03-14,60.160000,61.480000,59.680000,60.759998,60.759998,4719598
2022-03-15,60.389999,62.849998,59.230000,62.139999,62.139999,5067779
2022-03-16,64.309998,66.080002,63.250000,65.260002,65.260002,6129054
2022-03-17,65.800003,65.910004,63.490002,64.000000,64.000000,4486444
2022-03-18,63.869999,64.980003,62.209999,62.630001,62.630001,8469566
2022-03-21,63.020000,63.919998,62.529999,63.320000,63.320000,2621597
2022-03-22,63.779999,64.930000,63.099998,64.160004,64.160004,3027640
2022-03-23,64.720001,64.830002,62.779999,63.320000,63.320000,2832496
2022-03-24,63.349998,64.330002,62.470001,63.119999,63.119999,2963436
2022-03-25,63.320000,64.099998,62.509998,63.209999,63.209999,2499241
2022-03-28,63.389999,65.230003,63.299999,63.910000,63.910000,2760387
2022-03-29,65.110001,68.160004,64.660004,66.849998,66.849998,4830793
2022-03-30,66.430000,66.930000,64.949997,65.349998,65.349998,3326372
2022-03-31,65.800003,65.970001,63.400002,63.810001,63.810001,4179264
2022-04-01,64.010002,64.760002,63.310001,63.490002,63.490002,2848350
2022-04-04,63.990002,64.540001,62.810001,64.260002,64.260002,2538008
2022-04-05,64.489998,64.820000,62.619999,62.959999,62.959999,3425810
2022-04-06,62.700001,62.950001,60.619999,62.230000,62.230000,4539402
